,Spliced Height,Iv,Qp
0,10,2.302585092994046,5929005.888290214
1,14,2.6390573296152584,17455296.139503557
2,18,2.8903717578961645,37865673.211306505
3,22,3.091042453358316,69138562.40164118
4,26,3.258096538021482,113036580.77201782
5,30,3.4011973816621555,171156864.02817735
6,34,3.5263605246161616,244964872.08174992
7,38,3.6375861597263857,335818295.07739866
8,42,3.7376696182833684,444984656.6280862
9,46,3.828641396489095,573654700.093938
10,50,3.912023005428146,722952837.4153396
11,54,3.9889840465642745,893945482.8765556
12,58,4.060443010546419,1087647821.308533
13,62,4.127134385045092,1305029390.1160383
14,66,4.189654742026425,1547018744.4524553
15,70,4.248495242049359,1814507401.3678272
16,74,4.30406509320417,2108353208.3101165
17,78,4.356708826689592,2429383245.8973603
18,82,4.406719247264253,2778396349.4178367
19,86,4.454347296253507,3156165314.8911943
20,90,4.499809670330265,3563438841.6707544
21,94,4.543294782270004,4000943253.1079683
22,98,4.584967478670572,4469384028.795538
23,102,4.624972813284271,4969447175.704051
24,106,4.663439094112067,5501800460.668127
25,110,4.700480365792417,6067094522.832031
26,114,4.736198448394496,6665963881.591617
27,118,4.770684624465665,7299027853.092533
28,122,4.804021044733257,7966891386.33206
29,126,4.836281906951478,8670145828.264668
30,130,4.867534450455582,9409369625.95348
31,134,4.897839799950911,10185128972.683352
32,138,4.927253685157205,10997978404.011068
33,142,4.955827057601261,11848461348.939037
34,146,4.983606621708336,12737110640.732925
35,150,5.0106352940962555,13664448991.338886
36,154,5.0369526024136295,14630989432.874912
37,158,5.062595033026967,15637235729.258926
38,162,5.087596335232384,16683682760.68239
39,166,5.111987788356544,17770816883.33253
40,170,5.135798437050262,18899116266.50203
41,174,5.159055299214529,20069051208.9949
42,178,5.181783550292085,21281084436.536545
43,182,5.204006687076795,22535671381.720768
44,186,5.225746673713202,23833260447.872166
45,190,5.247024072160486,25174293258.066826
46,194,5.267858159063328,26559204890.43441
47,198,5.288267030694535,27988424100.758625
48,202,5.308267697401205,29462373533.29936
49,206,5.327876168789581,30981469920.67515
50,210,5.3471075307174685,32546124273.571377
51,214,5.365976015021851,34156742060.97117
52,218,5.384495062789089,35813723381.54764
53,222,5.402677381872279,37517463126.80152
54,226,5.420534999272286,39268351136.4803
55,230,5.438079308923196,41066772346.77128
56,234,5.455321115357702,42913106931.721985
57,238,5.472270673671475,44807730438.30525
58,242,5.488937726156687,46751013915.51463
59,246,5.5053315359323625,48743324037.84608
60,250,5.521460917862246,50785023223.49575
61,254,5.537334267018537,52876469747.57889
